comparison_id,family,current_model,candidate_model,status,path_interpretation,review_priority,risk_flags,n_items,current_accuracy_pct,candidate_accuracy_pct,accuracy_delta_pct,improvement_mass_pct,regression_mass_pct,churn_mass_pct,error_persistence_pct,correction_rate_pct,normalized_regression_burden_pct,net_gain_per_changed_item,improvement_to_regression_ratio,top_improving_categories,top_regressing_categories
Qwen3.5-2B -> Qwen2.5-3B-Instruct,qwen,Qwen3.5-2B,Qwen2.5-3B-Instruct,negative_delta_swap,negative swap,exclude_or_reframe,high_churn; high_regression_mass; high_normalized_regression_burden; near_parity_churn; not_a_successful_replacement,3008,46.908,44.215,-2.693,14.395,17.088,31.483,72.887,27.113,32.185,-0.085533,0.842408,health:+0.086; other:+0.061; history:+0.051; engineering:+0.020; math:+0.000,computer science:-0.132; philosophy:-0.103; psychology:-0.097; biology:-0.083; economics:-0.074
Qwen3.5-0.8B -> Qwen3-4B-Instruct-2507,qwen,Qwen3.5-0.8B,Qwen3-4B-Instruct-2507,positive_delta_candidate,larger; chronology unclear,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,33.045,48.238,15.193,25.0,9.807,34.807,62.661,37.339,14.647,0.436484,2.549148,philosophy:+0.254; math:+0.245; other:+0.243; business:+0.218; physics:+0.182,law:+0.011; biology:+0.022; engineering:+0.100; psychology:+0.107; health:+0.131
Qwen2.5-0.5B-Instruct -> Qwen3.5-0.8B,qwen,Qwen2.5-0.5B-Instruct,Qwen3.5-0.8B,positive_delta_candidate,newer+larger,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,16.456,33.045,16.589,25.399,8.81,34.209,69.598,30.402,10.545,0.484938,2.883028,biology:+0.283; economics:+0.248; business:+0.229; psychology:+0.228; chemistry:+0.215,history:+0.020; engineering:+0.056; law:+0.057; other:+0.061; philosophy:+0.087
Qwen3-0.6B -> Qwen3.5-2B,qwen,Qwen3-0.6B,Qwen3.5-2B,positive_delta_candidate,newer+larger,manual_review_required,high_churn; high_normalized_regression_burden,3008,27.992,46.908,18.916,26.562,7.646,34.209,63.112,36.888,10.619,0.552963,3.473902,biology:+0.378; economics:+0.317; psychology:+0.282; computer science:+0.245; philosophy:+0.238,engineering:+0.028; history:+0.101; law:+0.129; math:+0.152; other:+0.161
Qwen3-0.6B -> Qwen2.5-3B-Instruct,qwen,Qwen3-0.6B,Qwen2.5-3B-Instruct,positive_delta_candidate,larger; chronology unclear,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,27.992,44.215,16.223,24.734,8.511,33.245,65.651,34.349,11.819,0.488001,2.906258,biology:+0.294; health:+0.258; economics:+0.243; other:+0.222; psychology:+0.184,engineering:+0.048; law:+0.099; computer science:+0.113; chemistry:+0.126; philosophy:+0.135
Qwen3.5-0.8B -> Qwen2.5-3B-Instruct,qwen,Qwen3.5-0.8B,Qwen2.5-3B-Instruct,positive_delta_candidate,larger; chronology unclear,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,33.045,44.215,11.17,21.875,10.705,32.58,67.329,32.671,15.988,0.342857,2.043476,other:+0.191; health:+0.187; math:+0.170; business:+0.144; history:+0.141,computer science:+0.009; law:+0.042; chemistry:+0.043; philosophy:+0.063; engineering:+0.076
Qwen2.5-3B-Instruct -> Qwen3-4B-Instruct-2507,qwen,Qwen2.5-3B-Instruct,Qwen3-4B-Instruct-2507,positive_delta_candidate,newer+larger,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden; near_parity_churn,3008,44.215,48.238,4.023,18.251,14.229,32.48,67.282,32.718,25.506,0.123849,1.28271,philosophy:+0.190; computer science:+0.132; chemistry:+0.109; math:+0.075; business:+0.074,biology:-0.067; health:-0.056; law:-0.030; history:-0.010; psychology:+0.000
Gemma-3-1B-it -> Gemma-2-2B-Instruct,gemma,Gemma-3-1B-it,Gemma-2-2B-Instruct,positive_delta_candidate,larger; chronology unclear,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,17.52,31.682,14.162,22.839,8.677,31.516,72.31,27.69,10.52,0.449369,2.632173,biology:+0.217; economics:+0.198; chemistry:+0.185; physics:+0.185; business:+0.181,history:+0.040; engineering:+0.048; other:+0.070; law:+0.076; philosophy:+0.087
Qwen3.5-0.8B -> Qwen3.5-2B,qwen,Qwen3.5-0.8B,Qwen3.5-2B,positive_delta_candidate,same-gen larger,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,33.045,46.908,13.863,22.174,8.311,30.485,66.882,33.118,12.413,0.454742,2.66799,psychology:+0.204; economics:+0.203; biology:+0.172; math:+0.170; philosophy:+0.167,engineering:+0.056; law:+0.072; history:+0.091; health:+0.101; chemistry:+0.116
Qwen2.5-0.5B-Instruct -> Qwen3-0.6B,qwen,Qwen2.5-0.5B-Instruct,Qwen3-0.6B,positive_delta_candidate,newer+larger,manual_review_required,high_churn; high_regression_mass; high_normalized_regression_burden,3008,16.456,27.992,11.536,20.844,9.309,30.153,75.05,24.95,11.142,0.38258,2.239287,business:+0.218; math:+0.206; physics:+0.182; psychology:+0.150; economics:+0.134,law:+0.000; history:+0.010; philosophy:+0.016; other:+0.030; biology:+0.078
