comparison_id,family,old_model,new_model,old_generation,new_generation,old_parameter_b,new_parameter_b,old_boundary_role,new_boundary_role,n_common,old_accuracy,new_accuracy,accuracy_delta,accuracy_delta_ci95_low,accuracy_delta_ci95_high,old_error_count,new_error_count,persistent_error_count,improvement_count,regression_count,improvement_mass,regression_mass,error_jaccard,error_redistribution_index,shifted_error_mass,mcnemar_exact_p,top_improving_categories,top_regressing_categories
Gemma-3-270M-Instruct -> Gemma-3-1B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-3-1B-Instruct,gemma3,gemma3,0.27,1.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.117686,0.013298,-0.001995,0.02859,2694,2654,2403,291,251,0.096742,0.083444,0.815959,0.184041,0.180186,0.093805,economics:+0.064; biology:+0.061; psychology:+0.049; engineering:+0.044; philosophy:+0.016,computer science:-0.038; history:-0.030; business:-0.027; chemistry:-0.003; math:-0.003
Gemma-3-270M-Instruct -> Gemma-3-1B-it,gemma,Gemma-3-270M-Instruct,Gemma-3-1B-it,gemma3,gemma3,0.27,1.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.175199,0.070811,0.053856,0.088763,2694,2481,2226,468,255,0.155585,0.084774,0.754832,0.245168,0.240359,0.0,biology:+0.244; psychology:+0.170; economics:+0.168; other:+0.109; computer science:+0.047,business:+0.011; math:+0.030; engineering:+0.032; physics:+0.034; chemistry:+0.036
Gemma-3-270M-Instruct -> Gemma-2-2B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-2-2B-Instruct,gemma3,gemma2,0.27,2.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.316822,0.212434,0.191157,0.232048,2694,2055,1840,854,215,0.28391,0.071476,0.63252,0.36748,0.355386,0.0,biology:+0.461; economics:+0.366; psychology:+0.350; chemistry:+0.222; physics:+0.219,engineering:+0.080; history:+0.081; law:+0.118; philosophy:+0.127; computer science:+0.170
Gemma-3-270M-Instruct -> Gemma-4-E2B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-4-E2B-Instruct,gemma3,gemma4,0.27,2.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.018285,-0.086103,-0.097739,-0.074468,2694,2953,2642,52,311,0.017287,0.103391,0.879201,0.120799,0.120678,0.0,engineering:-0.032; chemistry:-0.040; physics:-0.068; math:-0.069; biology:-0.078,history:-0.152; computer science:-0.151; health:-0.141; philosophy:-0.111; economics:-0.109
Gemma-3-1B-Instruct -> Gemma-3-1B-it,gemma,Gemma-3-1B-Instruct,Gemma-3-1B-it,gemma3,gemma3,1.0,1.0,strict_sub_4b,strict_sub_4b,3008,0.117686,0.175199,0.057513,0.039894,0.073471,2654,2481,2249,405,232,0.134641,0.077128,0.779279,0.220721,0.211769,0.0,biology:+0.183; psychology:+0.121; economics:+0.104; other:+0.096; computer science:+0.085,engineering:-0.012; philosophy:+0.024; physics:+0.028; math:+0.033; law:+0.034
Gemma-3-1B-Instruct -> Gemma-2-2B-Instruct,gemma,Gemma-3-1B-Instruct,Gemma-2-2B-Instruct,gemma3,gemma2,1.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.117686,0.316822,0.199136,0.178191,0.219415,2654,2055,1846,808,209,0.268617,0.069481,0.644778,0.355222,0.338098,0.0,biology:+0.400; economics:+0.302; psychology:+0.301; chemistry:+0.225; business:+0.218,engineering:+0.036; law:+0.110; history:+0.111; philosophy:+0.111; other:+0.165
Gemma-3-1B-Instruct -> Gemma-4-E2B-Instruct,gemma,Gemma-3-1B-Instruct,Gemma-4-E2B-Instruct,gemma3,gemma4,1.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.117686,0.018285,-0.099401,-0.112035,-0.087101,2654,2953,2605,49,348,0.01629,0.115691,0.867755,0.132245,0.131981,0.0,chemistry:-0.036; math:-0.066; business:-0.069; physics:-0.074; engineering:-0.076,economics:-0.173; psychology:-0.146; health:-0.141; biology:-0.139; philosophy:-0.127
Gemma-3-1B-it -> Gemma-2-2B-Instruct,gemma,Gemma-3-1B-it,Gemma-2-2B-Instruct,gemma3,gemma2,1.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.175199,0.316822,0.141623,0.121011,0.160904,2481,2055,1794,687,261,0.228391,0.086769,0.654267,0.345733,0.31516,0.0,biology:+0.217; economics:+0.198; chemistry:+0.185; physics:+0.185; business:+0.181,history:+0.040; engineering:+0.048; other:+0.070; law:+0.076; philosophy:+0.087
Gemma-3-1B-it -> Gemma-4-E2B-Instruct,gemma,Gemma-3-1B-it,Gemma-4-E2B-Instruct,gemma3,gemma4,1.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.175199,0.018285,-0.156914,-0.170878,-0.141955,2481,2953,2430,51,523,0.016955,0.17387,0.808921,0.191079,0.190824,0.0,engineering:-0.064; chemistry:-0.076; math:-0.099; physics:-0.102; business:-0.106,biology:-0.322; economics:-0.277; psychology:-0.267; other:-0.209; computer science:-0.198
Gemma-2-2B-Instruct -> Gemma-4-E2B-Instruct,gemma,Gemma-2-2B-Instruct,Gemma-4-E2B-Instruct,gemma2,gemma4,2.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.316822,0.018285,-0.298537,-0.315492,-0.280918,2055,2953,2019,36,934,0.011968,0.310505,0.675477,0.324523,0.322473,0.0,engineering:-0.112; law:-0.209; history:-0.232; philosophy:-0.238; chemistry:-0.262,biology:-0.539; economics:-0.475; psychology:-0.447; health:-0.328; computer science:-0.321
