comparison_id,family,old_model,new_model,old_generation,new_generation,old_parameter_b,new_parameter_b,old_boundary_role,new_boundary_role,n_common,old_accuracy,new_accuracy,accuracy_delta,accuracy_delta_ci95_low,accuracy_delta_ci95_high,old_error_count,new_error_count,persistent_error_count,improvement_count,regression_count,improvement_mass,regression_mass,error_jaccard,error_redistribution_index,shifted_error_mass,mcnemar_exact_p,top_improving_categories,top_regressing_categories,old_error_rate,error_persistence,correction_rate,regression_rate_on_old_correct,churn_mass,normalized_regression_burden,regression_gap,net_gain_per_changed_item,improvement_to_regression_ratio,positive_delta,path_interpretation,review_flag
Gemma-3-270M-Instruct -> Gemma-3-1B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-3-1B-Instruct,gemma3,gemma3,0.27,1.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.117686,0.013298,-0.001995,0.02859,2694,2654,2403,291,251,0.096742,0.083444,0.815959,0.184041,0.180186,0.093805,economics:+0.064; biology:+0.061; psychology:+0.049; engineering:+0.044; philosophy:+0.016,computer science:-0.038; history:-0.030; business:-0.027; chemistry:-0.003; math:-0.003,0.895612,0.891982,0.108018,0.799363,0.180186,0.09317,0.09317,0.073802,1.159364,True,same-gen larger,manual required
Gemma-3-270M-Instruct -> Gemma-3-1B-it,gemma,Gemma-3-270M-Instruct,Gemma-3-1B-it,gemma3,gemma3,0.27,1.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.175199,0.070811,0.053856,0.088763,2694,2481,2226,468,255,0.155585,0.084774,0.754832,0.245168,0.240359,0.0,biology:+0.244; psychology:+0.170; economics:+0.168; other:+0.109; computer science:+0.047,business:+0.011; math:+0.030; engineering:+0.032; physics:+0.034; chemistry:+0.036,0.895612,0.826281,0.173719,0.812102,0.240359,0.094655,0.094655,0.294605,1.835291,True,same-gen larger,manual advised
Gemma-3-270M-Instruct -> Gemma-2-2B-Instruct,gemma,Gemma-3-270M-Instruct,Gemma-2-2B-Instruct,gemma3,gemma2,0.27,2.0,strict_sub_4b,strict_sub_4b,3008,0.104388,0.316822,0.212434,0.191157,0.232048,2694,2055,1840,854,215,0.28391,0.071476,0.63252,0.36748,0.355386,0.0,biology:+0.461; economics:+0.366; psychology:+0.350; chemistry:+0.222; physics:+0.219,engineering:+0.080; history:+0.081; law:+0.118; philosophy:+0.127; computer science:+0.170,0.895612,0.682999,0.317001,0.684713,0.355386,0.079807,0.079807,0.597756,3.972103,True,larger; chronology unclear,manual advised
Gemma-3-1B-Instruct -> Gemma-3-1B-it,gemma,Gemma-3-1B-Instruct,Gemma-3-1B-it,gemma3,gemma3,1.0,1.0,strict_sub_4b,strict_sub_4b,3008,0.117686,0.175199,0.057513,0.039894,0.073471,2654,2481,2249,405,232,0.134641,0.077128,0.779279,0.220721,0.211769,0.0,biology:+0.183; psychology:+0.121; economics:+0.104; other:+0.096; computer science:+0.085,engineering:-0.012; philosophy:+0.024; physics:+0.028; math:+0.033; law:+0.034,0.882314,0.8474,0.1526,0.655367,0.211769,0.087416,0.087416,0.271584,1.745683,True,same-size variant,routine
Gemma-3-1B-Instruct -> Gemma-2-2B-Instruct,gemma,Gemma-3-1B-Instruct,Gemma-2-2B-Instruct,gemma3,gemma2,1.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.117686,0.316822,0.199136,0.178191,0.219415,2654,2055,1846,808,209,0.268617,0.069481,0.644778,0.355222,0.338098,0.0,biology:+0.400; economics:+0.302; psychology:+0.301; chemistry:+0.225; business:+0.218,engineering:+0.036; law:+0.110; history:+0.111; philosophy:+0.111; other:+0.165,0.882314,0.695554,0.304446,0.590395,0.338098,0.078749,0.078749,0.588989,3.86605,True,larger; chronology unclear,manual advised
Gemma-3-1B-it -> Gemma-2-2B-Instruct,gemma,Gemma-3-1B-it,Gemma-2-2B-Instruct,gemma3,gemma2,1.0,2.0,strict_sub_4b,strict_sub_4b,3008,0.175199,0.316822,0.141623,0.121011,0.160904,2481,2055,1794,687,261,0.228391,0.086769,0.654267,0.345733,0.31516,0.0,biology:+0.217; economics:+0.198; chemistry:+0.185; physics:+0.185; business:+0.181,history:+0.040; engineering:+0.048; other:+0.070; law:+0.076; philosophy:+0.087,0.824801,0.723096,0.276904,0.495256,0.31516,0.1052,0.1052,0.449369,2.632173,True,larger; chronology unclear,manual required
Qwen2-0.5B-Instruct -> Qwen2.5-0.5B-Instruct,qwen,Qwen2-0.5B-Instruct,Qwen2.5-0.5B-Instruct,qwen2,qwen2.5,0.5,0.5,strict_sub_4b,strict_sub_4b,3008,0.129987,0.164561,0.034574,0.018285,0.052194,2617,2513,2239,378,274,0.125665,0.09109,0.774473,0.225527,0.216755,5.306e-05,business:+0.090; biology:+0.089; other:+0.087; math:+0.051; chemistry:+0.040,health:-0.045; law:-0.030; philosophy:+0.024; psychology:+0.024; engineering:+0.028,0.870013,0.85556,0.14444,0.700767,0.216755,0.1047,0.1047,0.159507,1.37957,True,newer,manual required
Qwen2-0.5B-Instruct -> Qwen3-0.6B,qwen,Qwen2-0.5B-Instruct,Qwen3-0.6B,qwen2,qwen3,0.5,0.6,strict_sub_4b,strict_sub_4b,3008,0.129987,0.27992,0.149933,0.130984,0.167553,2617,2166,1938,679,228,0.225731,0.075798,0.681195,0.318805,0.301529,0.0,business:+0.309; math:+0.257; physics:+0.216; psychology:+0.175; chemistry:+0.172,law:-0.030; philosophy:+0.040; history:+0.040; health:+0.081; engineering:+0.112,0.870013,0.740543,0.259457,0.58312,0.301529,0.087123,0.087123,0.497242,2.97806,True,newer+larger,manual advised
Qwen2.5-0.5B-Instruct -> Qwen3-0.6B,qwen,Qwen2.5-0.5B-Instruct,Qwen3-0.6B,qwen2.5,qwen3,0.5,0.6,strict_sub_4b,strict_sub_4b,3008,0.164561,0.27992,0.115359,0.09508,0.134309,2513,2166,1886,627,280,0.208444,0.093085,0.67526,0.32474,0.301529,0.0,business:+0.218; math:+0.206; physics:+0.182; psychology:+0.150; economics:+0.134,law:+0.000; history:+0.010; philosophy:+0.016; other:+0.030; biology:+0.078,0.835439,0.750497,0.249503,0.565657,0.301529,0.11142,0.11142,0.38258,2.239287,True,newer+larger,manual required
Qwen2-0.5B-Instruct -> Qwen3.5-0.8B,qwen,Qwen2-0.5B-Instruct,Qwen3.5-0.8B,qwen2,qwen3.5,0.5,0.8,strict_sub_4b,strict_sub_4b,3008,0.129987,0.330452,0.200465,0.179854,0.220745,2617,2014,1801,816,213,0.271277,0.070811,0.636396,0.363604,0.342088,0.0,biology:+0.372; business:+0.319; economics:+0.277; chemistry:+0.255; psychology:+0.252,law:+0.027; history:+0.051; engineering:+0.084; philosophy:+0.111; other:+0.148,0.870013,0.688193,0.311807,0.544757,0.342088,0.081391,0.081391,0.586004,3.831001,True,newer+larger,manual advised
